Year,valueA,GMSL variation (mm) with GIA,Smoothed GMSL variation (mm) with GIA,Year
38831,-6.44,-3.18,1.87,2006.313484
38841,-6.44,-3.2,2.5,2006.340862
38851,-3.33,-0.08,3.36,2006.368241
38861,-1.51,1.77,4.28,2006.395619
38871,-3.11,0.15,5.07,2006.422998
38881,-1.75,1.52,5.71,2006.450376
38890,-1.09,2.2,6.19,2006.475017
38900,1.49,4.74,6.43,2006.502396
38910,2.89,6.17,6.31,2006.529774
38920,2.08,5.38,5.88,2006.557153
38930,2.25,5.55,5.36,2006.584531
38940,0.2,3.51,5.06,2006.61191
38950,3.12,6.45,5.21,2006.639288
38960,6.96,10.3,5.66,2006.666667
38970,9.49,12.85,6.11,2006.694045
38980,10.87,14.21,6.3,2006.721424
38990,6.8,10.15,6.31,2006.748802
39000,6.74,10.1,6.32,2006.776181
39010,9.38,12.74,6.46,2006.803559
39019,9.19,12.49,6.59,2006.8282
39039,7.54,10.94,6.26,2006.882957
39049,3.22,6.59,6.03,2006.910335
39059,6.02,9.37,5.89,2006.937714
39069,2.58,5.97,5.73,2006.965092
39079,2.59,5.98,5.48,2006.992471
39089,1.19,4.59,5.28,2007.019849
39099,-0.21,3.2,4.94,2007.047228
39109,-0.6,2.81,4.91,2007.074606
39119,-1.07,2.35,5.13,2007.101985
39129,-0.07,3.36,5.52,2007.129363
39139,3.95,7.39,5.85,2007.156742
39148,0.68,4.11,6,2007.181383
39158,-0.14,3.32,6.02,2007.208761
39168,-1.63,1.85,6.03,2007.23614
39178,1.27,4.75,6.04,2007.263518
39188,0.96,4.45,5.93,2007.290897
39198,-0.3,3.19,5.72,2007.318275
39208,-5.27,-1.79,5.5,2007.345654
39218,-2.21,1.28,5.46,2007.373032
39228,-1.76,1.74,5.56,2007.400411
39238,-1.75,1.77,5.7,2007.427789
39248,-2.05,1.47,5.71,2007.455168
39258,-0.72,2.83,5.48,2007.482546
39268,0,3.53,5.05,2007.509925
39277,-1.2,2.35,4.52,2007.534565
39287,-2.38,1.19,4.09,2007.561944
39297,-0.6,2.97,3.81,2007.589322
39307,5.36,8.93,3.63,2007.616701
39317,2.85,6.44,3.44,2007.644079
39327,2.02,5.61,3.27,2007.671458
39337,3.22,6.83,3.22,2007.698836
39347,7.07,10.67,3.38,2007.726215
39357,5.26,8.87,3.71,2007.753593
39367,4.75,8.37,4.19,2007.780972
39377,7.74,11.34,4.82,2007.80835
39387,5.44,9.06,5.53,2007.835729
39397,7.25,10.86,6.17,2007.863107
39406,8.33,11.96,6.49,2007.887748
39416,6.29,9.91,6.37,2007.915127
39426,4.82,8.46,5.89,2007.942505
39436,-0.37,3.26,5.37,2007.969884
39446,-1.07,2.55,5.07,2007.997262
39456,1.28,4.93,5.03,2008.024641
39466,2.35,6.01,5.03,2008.052019
39476,1.15,4.81,4.89,2008.079398
39486,-2.8,0.88,4.61,2008.106776
39496,-0.33,3.35,4.37,2008.134155
39506,-2.88,0.82,4.26,2008.161533
39515,-0.54,3.16,4.25,2008.186174
39525,-0.18,3.52,4.22,2008.213552
39535,-2.34,1.39,4.12,2008.240931
39545,-2.87,0.86,4.05,2008.268309
39555,-2.88,0.84,4.24,2008.295688
39565,-5.53,-1.8,4.92,2008.323066
39575,-3.66,0.13,6.13,2008.350445
39585,0.92,4.67,7.64,2008.377823
39595,3.92,7.68,9.02,2008.405202
39604,2.22,5.98,9.97,2008.429843
39614,3.06,6.82,10.39,2008.457221
39624,4.37,8.13,10.34,2008.4846
39634,3.81,7.6,10,2008.511978
39644,3.56,7.33,9.51,2008.539357
39654,4.42,8.24,9.01,2008.566735
39664,4.49,8.34,8.59,2008.594114
39674,7.6,11.41,8.24,2008.621492
39684,7.11,10.95,7.93,2008.648871
39694,8.21,12.05,7.69,2008.676249
39703,7.27,11.09,7.58,2008.70089
39713,9.16,12.99,7.68,2008.728268
39723,9.93,13.78,7.92,2008.755647
39733,10.56,14.41,8.21,2008.783025
39743,10.78,14.64,8.45,2008.810404
39753,8.88,12.74,8.68,2008.837782
39763,8.61,12.48,8.91,2008.865161
39773,6.99,10.85,9.11,2008.892539
39783,11.32,15.21,9.18,2008.919918
39792,6.66,10.53,9.05,2008.944559
39802,3.15,7.02,8.85,2008.971937
39812,4.22,8.1,8.7,2008.999316
39822,3.76,7.67,8.7,2009.026694
39832,5.55,9.43,8.78,2009.054073
39842,2.77,6.68,8.9,2009.081451
39852,1.91,5.83,9.12,2009.10883
39862,4.42,8.35,9.47,2009.136208
39872,4.69,8.63,9.87,2009.163587
39882,4.53,8.47,10.2,2009.190965
39892,5.22,9.18,10.38,2009.218344
39902,4.02,7.99,10.44,2009.245722
39911,3.07,7.04,10.48,2009.270363
39921,3.39,7.37,10.55,2009.297741
39931,2.68,6.69,10.64,2009.32512
39941,3.82,7.8,10.74,2009.352498
39951,2.47,6.46,10.83,2009.379877
39961,0.81,4.83,10.94,2009.407255
39971,3.63,7.63,11.07,2009.434634
39981,4.55,8.57,11.2,2009.462012
39991,3.19,7.22,11.37,2009.489391
40001,2.6,6.63,11.7,2009.516769
40011,6.17,10.24,12.17,2009.544148
40021,11.45,15.51,12.64,2009.571526
40031,9.88,13.94,13.01,2009.598905
40040,10.23,14.31,13.28,2009.623546
40050,12.19,16.27,13.61,2009.650924
40060,14.09,18.15,14.05,2009.678303
40070,16.64,20.73,14.57,2009.705681
40080,17.03,21.12,15.11,2009.73306
40090,16.4,20.49,15.65,2009.760438
40100,17.35,21.43,16.16,2009.787817
40110,18.83,22.93,16.6,2009.815195
40120,19.43,23.54,16.79,2009.842574
40130,15.4,19.49,16.72,2009.869952
40140,16.32,20.42,16.44,2009.897331
40150,13.84,17.94,16.09,2009.924709
40160,10.27,14.38,15.75,2009.952088
40169,14.4,18.5,15.41,2009.976728
40179,10.12,14.25,15.05,2010.004107
40189,9.86,13.98,14.72,2010.031485
40199,8.3,12.43,14.64,2010.058864
40209,5.73,9.85,14.94,2010.086242
40219,10.04,14.19,15.51,2010.113621
40229,13.11,17.27,15.98,2010.140999
40239,14.73,18.9,15.98,2010.168378
40249,6.7,10.87,15.55,2010.195756
40259,7.35,11.56,15,2010.223135
40269,6.57,10.78,14.67,2010.250513
40279,8.37,12.59,14.69,2010.277892
40289,7.44,11.65,14.99,2010.30527
40298,6.12,10.34,15.52,2010.329911
40308,7,11.25,16.2,2010.35729
40318,10.23,14.47,16.93,2010.384668
40328,8.95,13.21,17.51,2010.412047
40338,9.78,14.02,17.78,2010.439425
40348,11.25,15.51,17.66,2010.466804
40358,10.53,14.83,17.15,2010.494182
40368,8.58,12.84,16.36,2010.521561
40378,10.64,14.92,15.38,2010.548939
40388,10.47,14.75,14.28,2010.576318
40398,9.19,13.5,13.15,2010.603696
40408,11.25,15.56,12.1,2010.631075
40418,7.69,12.02,11.27,2010.658453
40427,10.78,15.1,10.72,2010.683094
40437,12.23,16.53,10.46,2010.710472
40447,11.13,15.47,10.42,2010.737851
40457,9.95,14.28,10.5,2010.765229
40467,14.23,18.59,10.61,2010.792608
40477,12.31,16.67,10.58,2010.819986
40487,9.92,14.27,10.38,2010.847365
40497,10.15,14.5,10.08,2010.874743
40507,6.76,11.11,9.85,2010.902122
40517,6.71,11.07,9.78,2010.9295
40527,5.79,10.17,9.85,2010.956879
40537,7.52,11.88,9.96,2010.984257
40547,5.16,9.54,10.02,2011.011636
40556,4.02,8.4,10.03,2011.036277
40566,4.15,8.53,10.05,2011.063655
40576,4.43,8.81,10.08,2011.091034
40586,4.76,9.12,10.02,2011.118412
40596,4.48,8.89,9.79,2011.145791
40606,3.19,7.63,9.41,2011.173169
40616,3.34,7.78,9,2011.200548
40626,-0.79,3.65,8.68,2011.227926
40636,1.92,6.38,8.57,2011.255305
40646,1.92,6.37,8.69,2011.282683
40656,1.15,5.61,9.03,2011.310062
40666,-1.97,2.51,9.64,2011.33744
40676,2.9,7.38,10.54,2011.364819
40685,3.55,8.05,11.64,2011.389459
40695,2.22,6.7,12.74,2011.416838
40705,6.28,10.77,13.64,2011.444216
40715,9.28,13.77,14.18,2011.471595
40725,6.34,10.86,14.35,2011.498973
40735,6.67,11.18,14.36,2011.526352
40745,7.31,11.85,14.49,2011.55373
40755,9.3,13.83,14.89,2011.581109
40765,13.82,18.37,15.4,2011.608487
40775,14.71,19.29,15.77,2011.635866
40785,16.74,21.31,15.87,2011.663244
40795,15.98,20.53,15.75,2011.690623
40805,14.08,18.64,15.64,2011.718001
40814,16.16,20.76,15.63,2011.742642
40824,18.03,22.58,15.64,2011.770021
40834,19.98,24.57,15.5,2011.797399
40844,14.25,18.82,15.26,2011.824778
40854,11.85,16.45,15.14,2011.852156
40864,12.92,17.52,15.34,2011.879535
40874,16.02,20.62,15.82,2011.906913
40884,13.52,18.11,16.43,2011.934292
40894,12.33,16.94,17.11,2011.96167
40904,11.9,16.51,17.86,2011.989049
40914,14.75,19.37,18.69,2012.016427
40924,13.83,18.45,19.48,2012.043806
40933,15.52,20.15,20.07,2012.068446
40943,14.28,18.91,20.37,2012.095825
40953,15.25,19.91,20.39,2012.123203
40963,14.27,18.94,20.2,2012.150582
40973,12.44,17.11,19.99,2012.17796
40983,12.35,17.03,19.85,2012.205339
40993,13.39,18.08,19.9,2012.232717
41003,12.04,16.71,20.11,2012.260096
41013,12.49,17.21,20.45,2012.287474
41022,13.25,17.97,20.83,2012.312115
41032,12.65,17.37,21.25,2012.339493
41042,13.19,17.92,21.71,2012.366872
41052,11.33,16.05,22.32,2012.394251
41062,13.03,17.77,23.05,2012.421629
41072,17.47,22.2,23.86,2012.449008
41082,15.88,20.62,24.64,2012.476386
41092,15.83,20.6,25.34,2012.503765
41102,20.3,25.05,25.86,2012.531143
41112,22.77,27.55,26.09,2012.558522
41121,22,26.75,25.98,2012.583162
41131,22.98,27.78,25.66,2012.610541
41141,20.01,24.8,25.42,2012.637919
41151,24.97,29.77,25.48,2012.665298
41161,24.82,29.61,25.85,2012.692676
41171,28.14,32.95,26.32,2012.720055
41181,28.22,33.04,26.71,2012.747433
41191,28.95,33.75,26.94,2012.774812
41201,27.02,31.81,27.04,2012.80219
41211,26.73,31.54,27.13,2012.829569
41220,26.94,31.77,27.33,2012.854209
41230,25.85,30.67,27.61,2012.881588
41240,24.69,29.54,27.94,2012.908966
41250,27.28,32.13,28.22,2012.936345
41260,23.12,27.95,28.39,2012.963723
41270,24.43,29.28,28.47,2012.991102
41280,22.66,27.51,28.52,2013.01848
41290,21.41,26.28,28.61,2013.045859
41300,23.81,28.69,28.7,2013.073238
41310,23.25,28.15,28.74,2013.100616
41319,21.32,26.21,28.73,2013.125257
41329,21.55,26.44,28.67,2013.152635
41339,22.72,27.62,28.57,2013.180014
41349,21.71,26.63,28.33,2013.207392
41359,21.98,26.78,27.89,2013.234771
41369,20.36,25.38,27.31,2013.262149
41379,15.91,20.86,26.74,2013.289528
41389,18.24,23.19,26.24,2013.316906
41399,18.54,23.48,25.81,2013.344285
41409,15.75,20.74,25.42,2013.371663
41419,14.71,19.7,25.07,2013.399042
41429,15.07,20.06,24.85,2013.42642
41439,15.19,20.19,24.78,2013.453799
41448,17.24,22.22,24.81,2013.478439
41458,16.19,21.21,24.88,2013.505818
41468,17.27,22.28,24.91,2013.533196
41478,20.72,25.76,24.83,2013.560575
41488,22.08,27.13,24.58,2013.587953
41498,18.25,23.31,24.29,2013.615332
41508,21.28,26.35,24.1,2013.64271
41518,23.42,28.4,24.12,2013.670089
41528,24.48,29.56,24.34,2013.697467
41538,24.58,29.63,24.72,2013.724846
41548,25.7,30.74,25.21,2013.752225
41558,25.57,30.62,25.81,2013.779603
41568,27.9,32.95,26.41,2013.806982
41577,27.85,32.94,26.86,2013.831622
41587,25.91,30.99,27.07,2013.859001
41597,25.88,30.95,27.03,2013.886379
41607,25.32,30.42,26.86,2013.913758
41617,20.72,25.79,26.73,2013.941136
41627,21.23,26.34,26.81,2013.968515
41637,22.48,27.55,27.12,2013.995893
41647,21.44,26.52,27.64,2014.023272
41657,22.25,27.36,28.28,2014.05065
41667,21.9,27,28.98,2014.078029
41677,23,28.11,29.67,2014.105407
41687,24.61,29.73,30.22,2014.132786
41697,25.08,30.19,30.49,2014.160164
41706,23.6,28.74,30.45,2014.184805
41716,22.85,28,30.11,2014.212183
41726,23.19,28.33,29.51,2014.239562
41736,21.33,26.51,28.75,2014.26694
41746,19.01,24.2,27.97,2014.294319
41756,17.12,22.3,27.36,2014.321697
41766,17.62,22.81,27.07,2014.349076
41776,16.34,21.54,27.15,2014.376454
41786,17.75,22.99,27.57,2014.403833
41796,18.97,24.2,28.22,2014.431211
41806,18.58,23.81,29,2014.45859
41816,21.41,26.67,29.78,2014.485969
41826,23.76,29,30.47,2014.513347
41835,24.93,30.17,30.97,2014.537988
41845,24.11,29.34,31.3,2014.565366
41855,27.78,33.03,31.48,2014.592745
41865,29.21,34.49,31.47,2014.620123
41875,29.96,35.24,31.27,2014.647502
41885,29.47,34.74,30.95,2014.67488
41895,30.57,35.86,30.69,2014.702259
41905,28.52,33.81,30.65,2014.729637
41915,30.65,35.95,30.81,2014.757016
41925,33.92,39.2,30.96,2014.784394
41935,32.82,38.14,30.93,2014.811773
41945,29.08,34.41,30.74,2014.839151
41955,28.6,33.9,30.66,2014.86653
41964,24.97,30.3,30.98,2014.89117
41974,27.33,32.66,31.66,2014.918549
41984,33.35,38.69,32.4,2014.945927
41994,29.55,34.88,32.93,2014.973306
42004,23.96,29.32,33.32,2015.000684
42014,27.07,32.39,33.87,2015.028063
42024,27.29,32.65,34.73,2015.055441
42034,30.36,35.72,35.77,2015.08282
42044,29.39,34.74,36.73,2015.110198
42054,33.18,38.54,37.36,2015.137577
42064,31.49,36.86,37.64,2015.164956
42074,28.94,34.3,37.69,2015.192334
42084,29.03,34.47,37.72,2015.219713
42093,31.02,36.43,37.8,2015.244353
42103,29.89,35.32,37.85,2015.271732
42113,29.7,35.11,37.82,2015.29911
42123,29.28,34.75,37.74,2015.326489
42133,27.02,32.49,37.82,2015.353867
42143,25.5,30.94,38.27,2015.381246
42153,29.08,34.52,39.16,2015.408624
42163,31.15,36.6,40.32,2015.436003
42173,32.88,38.34,41.47,2015.463381
42183,34.56,40.01,42.41,2015.49076
42193,34.99,40.49,43.04,2015.518138
42203,37.38,42.91,43.41,2015.545517
42213,37.95,43.48,43.61,2015.572895
42222,39.06,44.62,43.81,2015.597536
42232,37.85,43.4,44.1,2015.624914
42242,44.61,50.15,44.45,2015.652293
42252,44.9,50.44,44.76,2015.679671
42262,44.15,49.69,44.95,2015.70705
42272,44.36,49.92,45.11,2015.734428
42282,45.31,50.85,45.3,2015.761807
42292,45.61,51.16,45.46,2015.789185
42302,47.77,53.32,45.51,2015.816564
42312,44.24,49.8,45.36,2015.843943
42322,40.99,46.54,45.08,2015.871321
42332,44.29,49.86,44.7,2015.8987
42341,41.5,47.06,44.23,2015.92334
42351,38.4,43.97,43.82,2015.950719
42361,36.44,42.02,43.73,2015.978097
42371,34.63,40.19,44.09,2016.005476
42381,39.95,45.52,44.78,2016.032854
42391,42.48,48.07,45.48,2016.060233
42401,36.9,42.46,45.97,2016.087611
42411,39.92,45.51,46.21,2016.11499
42421,38.89,44.52,46.33,2016.142368
42431,39.24,44.89,46.37,2016.169747
42441,38.05,43.69,46.28,2016.197125
42450,40.67,46.31,45.95,2016.221766
42460,37.36,43.01,45.33,2016.249144
42470,36.6,42.27,44.46,2016.276523
42480,33.67,39.36,43.53,2016.303901
42490,32.76,38.44,42.81,2016.33128
42500,30.95,36.63,42.48,2016.358658
42510,30.73,36.44,42.65,2016.386037
42520,33.78,39.44,43.13,2016.413415
42530,34.22,39.94,43.64,2016.440794
42539,36.27,42.04,43.87,2016.465435
42549,35.35,41.08,43.64,2016.492813
42559,35.45,41.19,42.97,2016.520192
42569,35.7,41.46,42.06,2016.54757
42579,33.93,39.68,41.18,2016.574949
42589,34.49,40.26,40.59,2016.602327
42599,34.56,40.34,40.42,2016.629706
42609,39.43,45.21,40.52,2016.657084
42619,41.82,47.6,40.58,2016.684463
42629,40.84,46.64,40.46,2016.711841
42638,38.4,44.19,40.31,2016.736482
42648,37.88,43.68,40.42,2016.76386
42658,40.51,46.28,40.98,2016.791239
42668,41.62,47.43,41.89,2016.818617
42678,41.19,46.99,42.91,2016.845996
42688,42.46,48.28,43.69,2016.873374
42698,44.82,50.64,44.02,2016.900753
42708,40.12,45.94,43.82,2016.928131
42718,37.37,43.17,43.29,2016.95551
42727,36.7,42.51,42.68,2016.980151
42737,35.38,41.22,42.14,2017.007529
42747,35.75,41.58,41.71,2017.034908
42757,33.94,39.77,41.39,2017.062286
42767,33.18,39.02,41.25,2017.089665
42777,32.62,38.46,41.34,2017.117043
42787,34.62,40.48,41.66,2017.144422
42797,34.02,39.91,42.15,2017.1718
42807,34.74,40.62,42.68,2017.199179
42817,35.83,41.7,43.1,2017.226557
42827,36.48,42.37,43.31,2017.253936
42837,33.99,39.92,43.29,2017.281314
42847,34.36,40.3,43.1,2017.308693
42856,32.6,38.53,42.87,2017.333333
42866,33.03,38.99,42.76,2017.360712
42876,30.03,35.98,42.83,2017.38809
42886,33.44,39.35,43.07,2017.415469
42896,34.21,40.15,43.34,2017.442847
42906,34.27,40.2,43.57,2017.470226
42916,33.98,39.97,43.79,2017.497604
42926,34.51,40.5,44.1,2017.524983
42936,36.75,42.74,44.51,2017.552361
42946,41.25,47.24,44.95,2017.57974
42956,40.64,46.67,45.29,2017.607118
42966,41.11,47.14,45.51,2017.634497
42976,43.65,49.65,45.59,2017.661875
42985,45.69,51.74,45.51,2017.686516
42995,45.5,51.54,45.28,2017.713895
43005,43.21,49.26,45.07,2017.741273
43015,43.24,49.27,45.11,2017.768652
43025,44.23,50.29,45.55,2017.79603
43035,44.62,50.65,46.35,2017.823409
43045,47.07,53.12,47.27,2017.850787
43055,45.59,51.62,48.07,2017.878166
43065,46.88,52.92,48.52,2017.905544
43075,44.89,50.97,48.56,2017.932923
43085,44.2,50.26,48.27,2017.960301
43095,40.6,46.67,47.85,2017.98768
43105,39.95,46.01,47.53,2018.015058
43114,39.59,45.65,47.43,2018.039699
43124,40.12,46.21,47.45,2018.067077
43134,41.96,48.08,47.46,2018.094456
43144,39.78,45.87,47.36,2018.121834
43154,37,43.12,47.17,2018.149213
43164,40.47,46.57,46.9,2018.176591
43174,40.35,46.48,46.51,2018.20397
43184,37.06,43.22,46.09,2018.231348
43194,34.61,40.77,45.79,2018.258727
43204,36.08,42.25,45.8,2018.286105
43214,36.26,42.44,46.12,2018.313484
43224,37.2,43.39,46.65,2018.340862
43234,36.83,43.02,47.2,2018.368241
43243,36.66,42.85,47.66,2018.392882
43253,39,45.21,47.96,2018.42026
43263,38.54,44.73,48.06,2018.447639
43273,37.14,43.37,48.07,2018.475017
43283,37.32,43.54,48.11,2018.502396
43293,40.56,46.74,48.23,2018.529774
43303,42.77,48.94,48.36,2018.557153
43313,42.05,48.27,48.49,2018.584531
43323,43.02,49.28,48.7,2018.61191
43333,44.54,50.8,49.11,2018.639288
43343,46.94,53.22,49.74,2018.666667
43353,50.44,56.7,50.47,2018.694045
43363,49.62,55.9,51.14,2018.721424
43372,53.01,59.28,51.64,2018.746064
43382,50.85,57.15,51.93,2018.773443
43392,51.25,57.53,51.97,2018.800821
43402,52.56,58.85,51.76,2018.8282
43412,49.67,55.92,51.31,2018.855578
43422,47.06,53.34,50.79,2018.882957
43432,44.9,51.18,50.39,2018.910335
43442,45.52,51.8,50.24,2018.937714
43452,44.56,50.85,50.41,2018.965092
43462,43.75,50.06,50.86,2018.992471
43472,42.37,48.69,51.53,2019.019849
43482,47.83,54.14,52.26,2019.047228
43491,44.84,51.17,52.88,2019.071869
43501,47,53.34,53.26,2019.099247
43511,45.12,51.45,53.44,2019.126626
43521,44.49,50.8,53.56,2019.154004
43531,45.21,51.65,53.63,2019.181383
43541,47.51,53.88,53.64,2019.208761
43551,44.71,51.1,53.58,2019.23614
43561,43.38,49.86,53.62,2019.263518
43571,41.59,47.98,53.87,2019.290897
43581,45.38,51.78,54.37,2019.318275
43591,46.49,52.94,54.89,2019.345654
43601,44.93,51.39,55.3,2019.373032
43611,43.87,50.32,55.59,2019.400411
43620,44.22,50.66,55.8,2019.425051
43630,46.97,53.38,56.01,2019.45243
43640,46.13,52.54,56.16,2019.479808
43650,46.27,52.71,56.28,2019.507187
43660,48.75,55.19,56.44,2019.534565
43670,48.6,55.07,56.75,2019.561944
43680,49.59,56.06,57.24,2019.589322
43690,53.93,60.4,57.82,2019.616701
43700,57.01,63.47,58.29,2019.644079
43710,56.05,62.5,58.45,2019.671458
43720,57.92,64.39,58.25,2019.698836
43730,57.54,64.03,57.76,2019.726215
43740,55.23,61.74,57.15,2019.753593
43749,56.46,63,56.65,2019.778234
43759,53.68,60.2,56.45,2019.805613
43769,52.14,58.69,56.63,2019.832991
43779,56.25,62.77,57.06,2019.86037
43789,55.51,62.05,57.45,2019.887748
43799,53.87,60.42,57.52,2019.915127
43809,53.68,60.2,57.16,2019.942505
43819,50.08,56.6,56.43,2019.969884
43829,49.47,56.03,55.5,2019.997262
43839,46.46,53.01,54.6,2020.024641
43849,44.51,51.06,53.91,2020.052019
43859,46.87,53.47,53.6,2020.079398
43868,41.22,48.01,53.69,2020.104038
43878,47.37,53.94,54.1,2020.131417
43888,46.34,52.96,54.62,2020.158795
43898,48.66,55.28,55.02,2020.186174
43908,45.78,52.4,55.25,2020.213552
43918,46.52,53.15,55.4,2020.240931
43928,45.7,52.36,55.7,2020.268309
43938,43.82,50.47,56.29,2020.295688
43948,47.17,53.81,57.04,2020.323066
43957,49.84,56.5,57.68,2020.347707
43967,48.67,55.32,57.95,2020.375086
43977,46.33,53.02,57.8,2020.402464
43987,47.26,53.95,57.38,2020.429843
43997,44.15,50.91,57.17,2020.457221
44007,45.89,52.59,56.99,2020.4846
44017,47.19,53.88,56.63,2020.511978
44027,48.94,55.65,56,2020.539357
44037,49.79,56.51,55.16,2020.566735
44047,50.71,57.44,54.19,2020.594114
